Topic,Description,Register Address,Unit,Scaling,Offset,type,Multiplier,AddressOffset,AXSOL Name,AXSOL Unit & Resolution,upperLimit,lowerLimit
Rack_N_Status,0x00: initial state;<br>0x01: charging;<br>0x02: discharging;<br>0x03: ready;<br>0x04: rack maintenance;<br>0x05: charge prohibition;<br>0x06: discharge prohibition;<br>0x07: charging and discharging prohibited;<br>0x08: fault;,100,NoUnit,1.0,0,UINT,1,0,ST_OpState,,99999999.0,-99999999.0
Rack_N_maximum_allowable_charging_power,Resolution: 0.1 Unit: KW  ,101,kW,0.1,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_maximum_allowable_discharging_power,Resolution: 0.1 Unit: KW  ,102,kW,0.1,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_maximum_allowable_charging_voltage,Resolution: 0.1 Unit: V   ,103,V,0.1,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_maximum_allowable_discharging_voltage,Resolution: 0.1 Unit: V   ,104,V,0.1,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_maximum_allowable_charging_current,Resolution: 0.1 Unit: A   ,105,A,0.1,0,UINT,1,0,LIM_I_Charge,,99999999.0,-99999999.0
Rack_N_maximum_allowable_discharging_current,Resolution: 0.1 Unit: A   ,106,A,0.1,0,UINT,1,0,LIM_I_Discharge,,99999999.0,-99999999.0
Rack_N_total_voltage,0.1V/bit                  ,115,V,0.1,0,UINT,1,0,ME_V,,99999999.0,-99999999.0
Rack_N_current,"0.1A/bit, offset: -3200.0A",116,A,0.1,-3200,UINT,1,0,ME_I,,99999999.0,-99999999.0
Rack_N_average_temperature,"1°C/bit, offset: -40°C    ",117,°C,1.0,-40,UINT,1,0,ME_Temp_Amb,,99999999.0,-99999999.0
Rack_N_SOC,1%/bit                    ,118,,1.0,0,UINT,1,0,ME_SOC,,99999999.0,-99999999.0
Rack_N_SOH,1%/bit                    ,119,,1.0,0,UINT,1,0,ME_SOH,,99999999.0,-99999999.0
Rack_N_insulation_resistance,1KΩ/bit                   ,120,kΩ,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_average_cell_voltage,0.001V/bit                ,121,V,0.001,0,UINT,1,0,ME_V_Avg,,99999999.0,-99999999.0
Rack_N_average_cell_temperature,"1°C/bit, offset: -40°C    ",122,°C,1.0,-40,UINT,1,0,ME_Temp_Avg,,99999999.0,-99999999.0
Rack_N_maximum_cell_voltage,0.001V/bit                ,123,V,0.001,0,UINT,1,0,ME_V_Cell_Max,,99999999.0,-99999999.0
Cell_No_of_maximum_cell_voltage_in_rack_N,1/bit                     ,124,,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
Rack_N_minimum_cell_voltage,0.001V/bit                ,125,V,0.001,0,UINT,1,0,ME_V_Cell_Min,,99999999.0,-99999999.0
Cell_No_of_minimum_cell_voltage_in_rack_N,1/bit                     ,126,,1.0,0,UINT,1,0,,,99999999.0,-99999999.0
